"Symbol","Last Price","Change $","Change %","Bid","Ask","Day's Range","52 Week Range","Volume","Last Trade (ET)"
"$DJI, DOW JONES INDUSTRIAL AVG","$40,827.52","+167.76","+0.41%","-","-","Min $40,670.83 - Max $40,886.14","Min $32,327.20 - Max $41,376.00","-","12:14:52 PM"
"SPX, INVALID SYMBOL","-","-","-","-","-","-","-","-","-"
"COMP, COMPASS INC A","$4.82","+0.12","+2.55%","$4.82","$4.83","Min $4.76 - Max $4.915","Min $1.815 - Max $4.915","2,820,603","12:14:42 PM"
"VIX, INVALID SYMBOL","-","-","-","-","-","-","-","-","-"
